feature,coef,abs_coef
Mean_Acc5_Std_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0003896109138945558,0.0003896109138945558
Std_Acc5_Std_Mem20_Flux_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,-0.00038092735248430876,0.00038092735248430876
MFCC_Overall_Standard_Deviation_6,0.00037512312909519785,0.00037512312909519785
Compactness_Overall_Average_1,-0.00030076087191523854,0.00030076087191523854
MFCC_Overall_Standard_Deviation_5,0.0002709608943463164,0.0002709608943463164
genre_electro,-0.0002707361645405103,0.0002707361645405103
Compactness_Overall_Standard_Deviation_1,0.00023621563545153657,0.00023621563545153657
Zero_Crossings_Overall_Standard_Deviation_1,-0.00015962204267903728,0.00015962204267903728
MFCC_Overall_Standard_Deviation_12,0.00015499570546924357,0.00015499570546924357
Std_Acc5_Mean_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,-0.00015235989295439567,0.00015235989295439567
MFCC_Overall_Average_10,0.00013986130212528813,0.00013986130212528813
MFCC_Overall_Average_11,9.842161077462663e-05,9.842161077462663e-05
MFCC_Overall_Average_3,9.385029568199921e-05,9.385029568199921e-05
LPC_Overall_Average_7,-8.488290257682718e-05,8.488290257682718e-05
Std_Acc5_Std_Mem20_PeakRatio_Chroma_G_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,-7.401810656653546e-05,7.401810656653546e-05
MFCC_Overall_Average_7,1.2812139174270265e-05,1.2812139174270265e-05
